Nome,ate1930,ate1940,ate1950,ate1960,ate1970,ate1980,ate1990,ate2000,ate2010
MARIA,336477,749053,1487042,2476482,2495491,1616019,917968,544296,1111301
ANA,33395,56160,101259,183941,292835,421531,529266,536302,935169
JOAO,60155,141772,256001,396438,429148,279975,273960,352552,794118
GABRIEL,1267,2744,4256,6095,6559,9103,46996,271405,584024
LUCAS,388,937,1593,2787,4425,9954,84484,517436,505306
PEDRO,21483,49143,86926,126205,132795,87427,97975,174376,443275
MATEUS,269,635,1179,1875,2829,6505,26373,218839,330315
JOSE,118121,311202,648754,1082782,1242231,942212,661123,431536,316568
GUSTAVO,420,888,1336,2522,5429,24792,60934,140109,305050
VITORIA,1657,3030,4388,4603,4087,3834,4522,58412,284471
GUILHERME,1174,2392,3642,5118,7297,12791,53137,164339,279111
CARLOS,4659,15620,53410,154038,267228,258333,270843,198370,266690
JULIA,9449,14057,16392,15919,13045,10210,20470,66542,265758
VITOR,894,3062,5383,7355,8367,10461,34925,107953,244503
FELIPE,600,1173,1750,2462,3719,12447,107869,263480,227960
LETICIA,715,1406,1781,2153,3647,11920,49759,154888,209359
MARCOS,777,2182,8840,38435,137775,256225,241551,219198,201182
RAFAEL,927,2426,3999,5687,8024,27396,262250,314959,195970
LUIZ,11073,31114,74213,162493,198312,146253,141548,147996,194790
DANIEL,1425,4601,10500,20672,38949,78204,171147,191287,194553
EDUARDO,2036,5136,11591,25775,47020,88801,125103,135005,192197
MATHEUS,90,203,298,470,684,2370,13765,142256,190298
LUIS,7632,20369,48056,113470,162943,131786,128991,137506,185152
AMANDA,363,541,549,645,1167,10041,67255,209251,176620
BRUNO,599,1351,2071,2595,4080,17911,172313,291524,175773
BEATRIZ,2201,4281,6426,9963,13982,15980,25206,107143,171169
GABRIELA,457,668,685,793,1275,9710,50338,147946,169778
LARISSA,24,44,99,140,595,3627,28327,159578,169411
PAULO,6234,20739,60073,163158,264587,274744,259594,211265,162868
LEONARDO,627,1830,3412,5896,11411,44341,120876,210481,148727
MARIANA,2955,4261,5733,6420,6399,12646,77085,124615,143273
VINICIUS,75,180,335,808,1982,8490,43606,110140,139206
DAVI,646,1864,4151,8328,14353,17422,29284,40817,139111
BRUNA,167,133,171,253,715,3671,75864,243948,138626
SAMUEL,581,1437,3028,6361,12409,20245,45727,68575,134880
VICTOR,374,1127,1347,1980,2526,4214,22640,76990,130956
CAMILA,366,472,589,733,1333,10724,122640,205816,128886
ISABELA,119,222,299,546,1643,4111,15657,67694,126593
FRANCISCO,33338,78300,160721,263616,331643,298780,285827,195901,124071
CAIO,72,164,342,731,1264,3771,22274,75957,123203
ANTONIO,60651,153459,314375,490645,531596,421292,299788,181350,123192
TIAGO,279,529,758,1081,1842,10434,202332,159130,118826
LUANA,38,73,138,335,871,4292,67082,166369,117102
SARA,560,794,1452,3150,7631,12140,29707,62579,116273
EDUARDA,220,360,403,455,610,1118,3136,34669,111328
BIANCA,47,47,77,201,1285,8888,26050,87837,109283
RAFAELA,145,182,192,248,524,3049,47996,117304,105377
GEOVANA,36,65,92,249,1724,6746,7847,23893,105001
FERNANDA,292,704,1098,2432,8731,57948,189873,168858,104821
IGOR,,53,105,252,728,3401,33848,123765,104477
NATALIA,1195,2462,3574,4004,4200,6521,69412,148186,95772
LAURA,6197,10659,13548,14308,12818,11898,16764,30068,94289
LUAN,,,28,45,127,459,6951,77188,92230
ANDRE,1154,2764,4437,8745,30200,124754,191597,130048,90109
NICOLAS,31,74,90,135,237,511,2516,19072,89923
JULIANA,648,1114,1466,2156,4675,55257,229182,180398,89810
MIGUEL,5326,12619,21687,29656,30932,20721,16156,15194,88589
NICOLE,,,40,52,114,534,3023,14913,87117
THIAGO,109,194,230,422,858,7265,145466,102922,86271
GABRIELE,,26,32,44,90,697,5362,32268,86222
YASMIN,,,,54,82,135,1082,17835,85054
ARTHUR,727,1194,1367,1811,2011,2427,7122,25506,84609
HENRIQUE,1776,3493,5166,7307,10379,14189,34175,68395,83838
CAUA,,,,,,58,277,2069,83253
RODRIGO,194,447,744,1581,5471,78928,250186,181864,82235
RAISSA,,,,34,132,392,3455,28844,80764
DIEGO,74,96,131,290,752,5381,158533,178701,80470
SABRINA,56,99,134,255,653,7438,31553,59074,80381
LIVIA,125,215,510,889,1822,5951,27984,20314,78599
ARTUR,1301,2334,3426,4450,4906,4497,8082,25405,78546
LARA,42,72,122,148,543,2224,4916,19546,78493
RUAN,24,53,101,186,272,805,3925,26086,78085
ALINE,266,445,610,977,2962,26454,192912,211777,75334
MILENA,49,80,89,264,887,7007,18116,57995,74555
RIAN,,,,,37,162,499,2790,72137
GIOVANA,35,45,60,184,1687,6833,7160,20567,70753
JESSICA,30,39,86,214,710,2569,40631,346278,67727
BRENDA,,,53,69,233,699,3116,49670,67395
KAUAN,,,,,,32,179,2221,66962
VANESSA,50,70,168,640,2751,29620,178904,139947,66688
DEBORA,173,431,752,2440,12669,40114,88490,102909,65969
PABLO,22,57,114,265,715,5598,21093,41075,64481
DAVID,460,1326,2359,4614,6751,8887,35015,51078,64467
ANDERSON,63,115,332,1238,7146,76569,180330,144109,63348
CAROLINE,88,102,132,213,420,4367,35723,109631,62972
BRENO,106,324,745,939,996,2534,9030,35008,62915
RENAN,22,76,247,624,1355,2574,28264,75706,62725
MARCELO,300,787,2450,8837,67145,224990,207902,118215,62589
LEANDRO,339,717,1185,2093,6533,60383,224389,151938,61671
FERNANDO,2204,6962,15234,35366,58110,88046,169079,119794,61551
ALICE,9182,16183,19930,18539,14944,9973,13293,28878,61338
SOFIA,917,1451,1885,1741,1812,1264,1862,4179,59777
LUIZA,9648,16957,23325,27247,25226,15126,16009,28235,58748
ALAN,41,154,439,1186,2670,15351,48695,80475,58431
ANDRESSA,29,31,75,128,389,5380,33218,88232,58256
ISADORA,,35,76,124,218,769,2642,19629,57834
TAINA,,,,45,185,357,6261,66206,57188
JULIO,3687,7941,12215,23544,39720,57466,75780,58593,57084
DIOGO,207,471,745,833,1159,3871,47257,44782,56794
KAUA,,,,,,27,146,1419,56563
REBECA,22,47,105,249,491,1462,7630,26184,56262
MURILO,215,666,1361,2039,3153,4154,16427,32047,55723
ALEXANDRE,1239,2632,3624,7798,31937,145708,118232,78073,54854
DANILO,209,771,2459,4160,4884,9163,68844,88476,54363
DOUGLAS,66,248,717,1658,4568,16487,66416,122242,54105
YASMIM,,,,29,31,75,554,10420,53904
ERICA,480,1101,1667,1905,3252,25085,74770,69982,53814
WESLEY,,30,67,232,1254,7762,30436,64390,53017
TAIS,29,52,160,440,900,6297,32680,110120,51838
EMILY,,,,21,40,191,1292,9111,51583
CARLA,65,174,354,1738,18821,65169,107619,81534,51210
VINICIOS,20,51,102,201,468,1867,10295,33902,51084
ALEX,70,138,294,923,5428,56122,101411,96272,50878
RAIANE,,,,,59,271,3796,47250,50614
ISABELE,24,52,59,56,168,605,2810,12505,50589
RAQUEL,916,1820,3783,8598,20560,48606,83492,69608,49032
RICARDO,868,2219,5600,21042,53924,120439,135954,80848,48809
FABIO,284,1066,1899,6088,24075,133472,236374,96165,48542
EMILI,,,30,39,56,152,989,7678,47953
ITALO,196,533,412,572,1056,1954,9331,34875,47888
LAIS,324,659,967,1301,1416,1773,19979,57129,47813
DANIELE,,26,54,138,944,20733,97823,86842,46942
CAMILE,,,,,23,383,1521,3413,46637
TAINARA,,,,,45,159,2717,45984,46428
BARBARA,679,1135,1579,2903,4247,11377,31817,71187,46418
CLARA,1739,2842,3776,4836,4491,3277,5212,11285,45478
TALITA,154,289,445,554,665,1855,33720,58179,45181
JENIFER,,,,37,109,619,7636,35911,45149
CAROLINA,2658,3300,3532,3135,2358,10644,48037,72720,44837
LORENA,161,685,1909,3068,2997,3309,16592,38867,44722
CAUAN,,,,,,,160,1285,44513
PAMELA,,,21,104,200,738,24494,68840,44174
ENZO,21,44,64,139,188,270,473,2088,44056
JEFERSON,70,163,479,1383,6232,23662,69022,108769,44039
FABRICIO,76,140,223,385,1465,19654,52095,49920,43921
SAMARA,,,40,162,811,3400,17961,45298,42826
ESTER,2020,3340,4864,6914,9366,7827,8785,14536,42726
EVELIN,,35,66,162,381,1104,6204,16698,42094
IAGO,,,,23,40,139,837,31452,41795
INGRID,21,155,393,1009,1110,2368,10579,46063,41261
YURI,,,32,66,366,1163,5615,27532,39871
DANIELA,44,83,144,371,2596,52913,112963,95597,39599
ERICK,,,32,85,282,2292,8721,19540,39541
TAMIRES,,24,31,70,232,608,23106,80436,39200
MARINA,4387,10088,16396,22755,22358,15734,32329,45474,39021
JAQUELINE,50,60,173,570,14565,38994,101992,114241,38470
ERIC,,35,58,156,450,3025,10285,20180,38377
IASMIN,,,,21,21,48,407,7679,38154
OTAVIO,2506,4744,7224,8234,7246,5944,8535,18270,37838
MAICON,,,35,86,266,2587,34780,59678,37695
JEAN,72,207,424,648,3498,23314,31734,62600,37579
FLAVIA,221,431,882,1976,7328,51341,80366,54672,36687
NATAN,25,72,146,280,529,815,2045,18341,35728
MARCELA,92,122,183,414,1866,8210,52672,41376,35456
THAIS,70,103,166,678,993,5891,36116,90295,35308
RENATA,209,385,798,1961,8811,72534,139652,87448,35203
IASMIM,,,,21,24,49,329,6895,35050
ALANA,,,21,107,299,1009,6360,25189,34979
ESTEFANI,,,20,43,73,226,2683,19072,34449
EVERTON,22,70,186,649,2206,8966,51109,51047,33872
ALISSON,,20,37,78,283,4191,15923,41453,33086
ADRIELE,,,,,48,200,5596,27278,33075
EMERSON,56,105,304,964,2852,44890,45792,50072,32900
RYAN,,,,,,83,248,1303,32674
CAIQUE,,,,,32,69,655,17888,32241
EMANUEL,722,1561,2957,4343,6107,6832,12543,16180,32036
MANUELA,495,1360,987,851,668,2529,10848,11527,31966
MAIARA,,,21,60,188,612,13781,66494,31442
KAIQUE,,,,,,59,359,11999,31440
FRANCISCA,27317,50099,91799,114117,130467,115754,100957,63836,31296
GABRIELI,,,,,,141,1359,9955,31262
JAMILE,105,166,161,238,421,1286,9571,19112,31183
JOICE,,65,200,586,1453,4857,32937,56845,31103
ANTONIA,22746,42629,72229,92052,104823,95107,80720,51444,31065
CRISTIAN,,,36,139,512,8340,12709,27676,30742
WILLIAN,59,146,447,1542,3864,11318,39537,58203,30005
MARIANE,32,39,132,353,1149,2370,9991,30127,29828
ALESSANDRA,30,56,99,326,2429,81615,80573,48723,29782
ADRIANO,452,1089,1442,2278,10406,83103,142932,66832,29781
VICTORIA,279,409,250,160,149,203,539,13385,29576
PAULA,1006,1628,2333,3954,9097,31209,79296,64631,29423
DAIANE,20,,24,75,271,3655,89308,122173,29285
ALISON,,,20,68,199,2530,10296,30938,28885
HUGO,728,1806,2506,3552,3845,7277,22243,30739,28535
JUAN,128,280,643,858,945,1504,3155,9810,28412
EMILLY,,,,,,26,324,3623,27856
RENATO,970,3105,8703,20345,36205,66737,104369,61347,27754
FLAVIO,540,1983,5601,12805,29000,67381,78573,43084,27752
JONAS,1164,2858,5936,9993,16153,18930,35235,47531,27305
BERNARDO,697,1631,2747,3408,3641,3680,6698,7149,27242
GISELE,46,117,203,974,6337,21822,72907,35822,27115
PATRICIA,140,274,515,2304,18006,152381,207672,122680,27093
WESLEI,,,21,57,374,2751,12000,28929,26943
GIOVANNA,26,47,41,64,277,727,1283,8066,26907
MICHELE,40,84,99,237,661,19315,96613,58190,26764
LUCIANO,501,1373,3147,7540,22605,126488,98628,50596,26614
EMILE,,,,24,31,88,541,4204,26357
RICHARD,26,76,163,430,1084,3126,5219,13807,26339
ADRIAN,,,21,37,164,526,961,2458,26239
ANNA,2111,3937,2440,1350,1583,2325,5753,9882,26228
MELISSA,,30,43,59,178,4465,4555,8523,26034
ELEN,,41,91,324,1066,3666,11571,17684,26027
MARCIO,174,803,3694,12246,49991,180626,146234,48275,26003
JORGE,4029,13422,34447,99457,113041,72693,60551,42672,25637
MARCO,118,495,3915,15646,47806,52588,34299,27747,25462
EMANUELE,,,,23,40,592,5197,7208,25104
ERIK,,,26,49,224,1356,5117,10892,24735
FRANCIELE,,,,32,125,1131,27917,58734,24526
VIVIANE,31,41,169,750,4648,49012,101090,50667,24414
IAN,,,30,62,107,219,981,10245,24399
ELOISA,278,718,2438,4978,6779,5682,5815,7627,24392
KEVIN,,,,23,44,81,358,10509,24275
PAOLA,,20,62,89,436,1435,7501,16811,24199
KAIO,,,,,62,252,1932,9134,24104
CLEITON,,37,154,494,1662,13094,46609,43510,23913
KAUE,,,,,,90,1031,4551,23740
SAMIRA,,100,143,409,835,1483,5485,6063,23719
MAURICIO,682,2625,6503,16776,35981,50019,50345,49197,23650
MAISA,30,73,225,1031,3296,3967,6259,13625,23638
EDSON,908,5012,15066,43511,90073,111469,94245,47853,23406
ROBERTA,167,306,487,874,4377,24088,55914,34171,23169
LUISA,2142,3868,5250,6435,6828,4336,5432,11154,23094
ROBSON,55,166,489,4445,18531,49060,85165,55293,23078
NAIARA,,,22,91,317,1207,15175,45765,23028
ALESSANDRO,21,42,85,279,1663,44195,51298,30065,22843
KAILANE,,,,,,,76,382,22802
ISABELLA,,,22,45,253,546,2287,10459,22763
ELIAS,1923,5192,11542,21677,32978,35340,32798,26748,22504
LAVINIA,210,265,277,302,255,333,269,4331,22459
MARLON,,,46,292,1930,6068,15098,27250,22259
FILIPE,54,97,139,192,294,1013,11353,26428,22162
KAUANE,,,,,,,91,2380,22148
HELOISA,397,971,3204,6301,7218,5298,5986,7776,22110
KAREN,,24,67,200,1161,4968,14381,25854,21876
ANDREI,,,,29,260,2059,4611,13167,21599
WILIAN,36,108,282,1060,2631,7215,24675,38326,21556
PALOMA,,,26,66,219,890,10739,45940,21508
NATANAEL,255,747,1827,3492,5183,6559,9668,21411,21503
MOISES,1042,2372,4869,9051,17977,20782,26998,20716,21437
JANAINA,29,53,159,460,3896,39120,80662,65228,21224
SARAH,143,216,174,283,517,821,3799,9339,20936
MIRELA,,,,97,279,1760,4019,7007,20888
STEFANI,,,,,44,148,2178,14358,20793
CAUE,,,,,,132,1461,4282,20651
JOANA,14520,23207,31812,43560,48839,36312,31365,19489,20628
IARA,259,1204,4235,9353,11774,11238,13301,22749,20614
ARIANE,,,48,146,712,2595,19486,30797,20566
MICAEL,,,21,30,59,260,1407,8913,20531
JONATAN,,22,62,121,273,686,12774,37945,20497
SOPHIA,172,204,84,55,59,89,326,1104,20330
KARINE,,,,43,247,5527,15211,28404,20319
ISABEL,8824,15477,22734,36416,53172,40072,26146,16582,20231
JUNIOR,38,74,162,431,2510,13337,37466,38597,20037
FABIANA,72,130,234,443,3065,68679,142807,56527,19953
ELLEN,35,43,57,232,618,2389,8129,12912,19926
AUGUSTO,2944,6175,8356,10496,12283,11509,12786,20754,19874
LUCIANA,332,604,1085,2797,18712,174777,163659,49775,19660
IZABELA,27,53,72,98,296,685,3019,11241,19476
ESTEFANE,,,,21,40,132,1315,9201,19238
GRAZIELE,,,,21,70,1535,12896,13550,19099
PIETRO,59,102,106,105,130,228,802,2080,18797
ISABELI,,,,,45,142,664,3472,18660
PRISCILA,130,171,285,552,1371,14060,111262,76723,18574
NATALI,25,44,59,108,159,748,5156,11761,18559
RAISA,,,,,27,82,1114,8909,18468
JOSUE,564,1595,3677,7294,12722,14769,17256,15421,18464
HEITOR,399,939,1411,1788,1934,1487,3244,7203,18347
MAYARA,,,,29,85,368,10942,45427,18206
POLIANA,,,38,78,369,3356,31377,31273,18041
ROBERTO,1601,6778,23053,56557,105051,108253,81501,36506,17988
JONATAS,37,90,189,441,824,1582,14125,25924,17904
ISAQUE,71,167,404,897,1746,2259,4738,7074,17830
RAYANE,,,,,26,100,1624,19505,17791
ISRAEL,409,1257,2910,5722,10251,12801,20103,23155,17717
RAMON,143,358,522,819,1521,3145,12169,26429,17701
EZEQUIEL,231,622,1312,2823,5216,7879,14195,14705,17695
LAISA,,27,42,77,125,408,2332,8616,17688
KARINA,,29,46,116,840,15225,41812,42115,17682
ICARO,,,61,72,152,360,3031,10525,17668
SERGIO,947,4647,17116,53210,106819,107584,65055,32069,17544
EVELYN,,31,56,161,249,706,3467,7852,17513
ADRIANA,262,489,782,2078,33477,247099,195003,71541,17237
MANOEL,28241,60061,95014,116085,112892,81728,52601,28528,17195
WANDERSON,,,33,104,677,7675,20422,30041,17060
ISAC,125,239,543,1292,2259,2862,5407,7251,17026
YAN,,,,22,61,155,566,8297,16977
AGATA,33,63,71,66,98,238,1317,4580,16958
MICHAEL,22,38,146,239,426,2496,15747,30222,16941
HELENA,9164,18843,31144,42150,36962,20423,12547,9517,16841
ELAINE,145,326,1395,5945,24424,79042,89303,39654,16839
NICOLI,,,,,,57,451,2624,16822
YAGO,,,,,29,77,358,11613,16782
ANE,,40,73,218,541,1489,5683,10616,16705
ROBERT,50,100,217,494,1116,2416,5778,11876,16686
LAIANE,,,,,27,111,3624,16359,16669
VERONICA,1162,2279,3503,6674,13900,25522,29694,20465,16628
MONIQUE,,30,31,167,504,2431,22088,26010,16519
RAYSSA,,,,,,59,503,6037,16243
CLAUDIO,993,3642,12910,36185,75178,120338,58650,28014,16121
